 7 ,230,240 ,181 ,1.0 ,2.682
 7 ,230,250 ,210 ,1.0 ,2.681
 7 , 20,330 ,199 ,2.4 ,2.741
 7 ,330,110 ,218 ,1.0 ,2.727
 7 ,330,120 ,191 ,1.0 ,2.730
 7 , 50,340 ,188 ,1.0 ,2.705
 7 ,340,140 ,188 ,1.0 ,2.697
 7 ,340,150 ,229 ,1.0 ,2.700
 7 ,340,160 ,194 ,1.0 ,2.697
 7 ,160,170 , 1 ,1.0 ,3.198
 7 ,160,180 ,213 ,1.0 ,2.689
 7 , 60,260 ,199 ,1.0 ,2.697
 7 ,280,290 ,194 ,1.0 ,2.671
 7 ,300,310 ,207 ,1.0 ,2.682
 8 , 10,20 ,182 ,2.9 ,2.729
 8 , 20,30 ,208 ,2.7 ,2.726
 8 , 30,40 ,205 ,2.7 ,2.726
 8 , 40,50 ,214 ,1.0 ,2.709
 8 , 50,60 ,206 ,1.0 ,2.699
 8 , 60,70 ,218 ,1.0 ,2.691
 8 , 70,270 ,169 ,1.0 ,2.686
 8 ,270,280 ,194 ,1.0 ,2.679
 8 ,280,300 ,194 ,1.0 ,2.673
 8 ,300,320 ,198 ,1.0 ,2.666
 8 , 30,350 ,215 ,2.6 ,2.722
 8 ,350,80 ,189 ,1.0 ,2.709
 8 ,350,90 ,203 ,1.0 ,2.708
 8 ,350,100 ,170 ,1.0 ,2.710
 8 , 40,130 ,185 ,1.0 ,2.710
 8 , 50,190 ,213 ,1.0 ,2.697
 8 ,190,200 , 1 ,1.0 ,2.667
 8 ,190,210 ,220 ,1.0 ,2.689
 8 ,210,220 ,192 ,1.0 ,2.683
 8 ,210,230 ,207 ,1.0 ,2.682
 8 ,230,240 ,181 ,1.0 ,2.676
 8 ,230,250 ,210 ,1.0 ,2.675
 8 , 20,330 ,199 ,2.7 ,2.726
 8 ,330,110 ,218 ,1.0 ,2.720
 8 ,330,120 ,191 ,1.0 ,2.722
 8 , 50,340 ,188 ,1.0 ,2.698
 8 ,340,140 ,188 ,1.0 ,2.690
 8 ,340,150 ,229 ,1.0 ,2.693
 8 ,340,160 ,194 ,1.0 ,2.690
 8 ,160,170 , 1 ,1.0 ,3.193
 8 ,160,180 ,213 ,1.0 ,2.682
 8 , 60,260 ,199 ,1.0 ,2.690
 8 ,280,290 ,194 ,1.0 ,2.665
 8 ,300,310 ,207 ,1.0 ,2.675
 9 , 10,20 ,182 ,2.2 ,2.754
 9 , 20,30 ,208 ,2.0 ,2.748
 9 , 30,40 ,205 ,2.0 ,2.748
 9 , 40,50 ,214 ,1.0 ,2.717
 9 , 50,60 ,206 ,1.0 ,2.706
 9 , 60,70 ,218 ,1.0 ,2.698
 9 , 70,270 ,169 ,1.0 ,2.693
 9 ,270,280 ,194 ,1.0 ,2.686
 9 ,280,300 ,194 ,1.0 ,2.680
 9 ,300,320 ,198 ,1.0 ,2.673
 9 , 30,350 ,215 ,1.0 ,2.732
 9 ,350,80 ,189 ,1.0 ,2.717
 9 ,350,90 ,203 ,1.0 ,2.716
 9 ,350,100 ,170 ,1.0 ,2.718
 9 , 40,130 ,185 ,1.0 ,2.719
 9 , 50,190 ,213 ,1.0 ,2.705
 9 ,190,200 , 1 ,1.0 ,2.677
 9 ,190,210 ,220 ,1.0 ,2.697
 9 ,210,220 ,192 ,1.0 ,2.690
 9 ,210,230 ,207 ,1.0 ,2.689
